****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Tue Mar 26 21:55:59 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  text_out_reg_52_ (WDDLDFFMS)        3.88e-06 6.80e-08 2.03e-09  3.95e-06   0.1
  sa33_reg_0_ (WDDLDFFMS)             3.72e-06 2.21e-07 1.98e-09  3.94e-06   0.1
  sa01_reg_6_ (WDDLDFFMS)             4.34e-06 1.61e-07 1.99e-09  4.51e-06   0.1
  text_out_reg_92_ (WDDLDFFMS)        3.73e-06 1.02e-07 2.03e-09  3.84e-06   0.1
  text_out_reg_124_ (WDDLDFFMS)       3.74e-06 6.80e-08 1.98e-09  3.81e-06   0.1
  text_out_reg_13_ (WDDLDFFMS)        3.77e-06 1.02e-07 2.03e-09  3.88e-06   0.1
  sa22_reg_6_ (WDDLDFFMS)             3.92e-06 1.61e-07 1.97e-09  4.09e-06   0.1
  sa12_reg_1_ (WDDLDFFMS)             3.91e-06 1.15e-06 2.02e-09  5.06e-06   0.1
  text_out_reg_53_ (WDDLDFFMS)        4.52e-06 1.36e-07 2.07e-09  4.66e-06   0.1
  sa33_reg_1_ (WDDLDFFMS)             4.15e-06 1.54e-06 2.06e-09  5.69e-06   0.1
  sa01_reg_7_ (WDDLDFFMS)             4.63e-06 1.13e-06 2.06e-09  5.76e-06   0.1
  text_out_reg_93_ (WDDLDFFMS)        4.14e-06 1.02e-07 2.04e-09  4.24e-06   0.1
  text_out_reg_125_ (WDDLDFFMS)       3.37e-06 6.80e-08 1.99e-09  3.44e-06   0.1
  text_out_reg_14_ (WDDLDFFMS)        3.60e-06 6.80e-08 1.98e-09  3.67e-06   0.1
  sa22_reg_7_ (WDDLDFFMS)             3.94e-06 8.47e-07 1.98e-09  4.79e-06   0.1
  sa12_reg_2_ (WDDLDFFMS)             4.30e-06 3.85e-07 2.02e-09  4.69e-06   0.1
  text_out_reg_54_ (WDDLDFFMS)        3.67e-06 6.80e-08 2.04e-09  3.74e-06   0.1
  sa33_reg_2_ (WDDLDFFMS)             3.49e-06 1.93e-07 1.98e-09  3.68e-06   0.1
  text_out_reg_94_ (WDDLDFFMS)        3.57e-06 6.80e-08 2.01e-09  3.64e-06   0.1
  text_out_reg_126_ (WDDLDFFMS)       4.29e-06 1.02e-07 2.03e-09  4.39e-06   0.1
  text_out_reg_15_ (WDDLDFFMS)        3.26e-06 6.80e-08 1.99e-09  3.33e-06   0.1
  sa12_reg_3_ (WDDLDFFMS)             4.20e-06 3.73e-07 1.98e-09  4.57e-06   0.1
  U1373 (WDDLNANDCOMP)                2.08e-06 1.42e-06 3.05e-09  3.50e-06   0.1
  text_out_reg_55_ (WDDLDFFMS)        3.88e-06 6.80e-08 2.04e-09  3.95e-06   0.1
  sa33_reg_3_ (WDDLDFFMS)             3.82e-06 1.86e-07 2.02e-09  4.01e-06   0.1
  text_out_reg_95_ (WDDLDFFMS)        4.68e-06 1.70e-07 2.08e-09  4.85e-06   0.1
  text_out_reg_127_ (WDDLDFFMS)       3.76e-06 1.02e-07 2.03e-09  3.87e-06   0.1
  text_out_reg_16_ (WDDLDFFMS)        4.37e-06 1.36e-07 2.07e-09  4.51e-06   0.1
  sa12_reg_4_ (WDDLDFFMS)             4.57e-06 5.03e-07 2.03e-09  5.08e-06   0.1
  text_out_reg_56_ (WDDLDFFMS)        4.00e-06 1.36e-07 2.06e-09  4.14e-06   0.1
  sa33_reg_4_ (WDDLDFFMS)             4.56e-06 6.23e-07 2.07e-09  5.18e-06   0.1
  text_out_reg_96_ (WDDLDFFMS)        4.61e-06 1.36e-07 2.09e-09  4.75e-06   0.1
  text_out_reg_17_ (WDDLDFFMS)        3.84e-06 1.02e-07 2.03e-09  3.94e-06   0.1
  sa12_reg_5_ (WDDLDFFMS)             4.34e-06 3.00e-07 2.03e-09  4.64e-06   0.1
  sa02_reg_0_ (WDDLDFFMS)             3.92e-06 1.99e-07 1.98e-09  4.12e-06   0.1
  text_out_reg_57_ (WDDLDFFMS)        3.74e-06 6.80e-08 2.01e-09  3.81e-06   0.1
  sa33_reg_5_ (WDDLDFFMS)             3.53e-06 9.99e-08 1.95e-09  3.63e-06   0.1
  sa23_reg_0_ (WDDLDFFMS)             3.95e-06 2.99e-07 2.00e-09  4.25e-06   0.1
  text_out_reg_97_ (WDDLDFFMS)        3.64e-06 1.02e-07 2.02e-09  3.74e-06   0.1
  text_out_reg_18_ (WDDLDFFMS)        3.58e-06 6.80e-08 2.02e-09  3.65e-06   0.1
  sa12_reg_6_ (WDDLDFFMS)             3.89e-06 1.61e-07 2.01e-09  4.06e-06   0.1
  sa02_reg_1_ (WDDLDFFMS)             5.28e-06 1.92e-06 2.09e-09  7.20e-06   0.2
