****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Wed Mar 27 21:06:46 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  sa22_reg_2_ (WDDLDFFMS)             3.46e-06 3.85e-07 1.99e-09  3.84e-06   0.1
  text_out_reg_69_ (WDDLDFFMS)        4.03e-06 1.02e-07 2.05e-09  4.14e-06   0.1
  sa01_reg_3_ (WDDLDFFMS)             4.38e-06 5.59e-07 2.03e-09  4.94e-06   0.1
  text_out_reg_121_ (WDDLDFFMS)       4.09e-06 1.02e-07 2.04e-09  4.20e-06   0.1
  text_out_reg_10_ (WDDLDFFMS)        3.89e-06 1.02e-07 2.04e-09  3.99e-06   0.1
  sa22_reg_3_ (WDDLDFFMS)             4.77e-06 5.59e-07 2.05e-09  5.33e-06   0.1
  text_out_reg_50_ (WDDLDFFMS)        3.42e-06 6.80e-08 2.00e-09  3.49e-06   0.1
  sa01_reg_4_ (WDDLDFFMS)             4.29e-06 5.03e-07 2.05e-09  4.79e-06   0.1
  text_out_reg_90_ (WDDLDFFMS)        4.20e-06 1.02e-07 2.05e-09  4.30e-06   0.1
  text_out_reg_122_ (WDDLDFFMS)       3.82e-06 1.02e-07 2.03e-09  3.92e-06   0.1
  text_out_reg_11_ (WDDLDFFMS)        3.67e-06 6.80e-08 1.99e-09  3.74e-06   0.1
  sa22_reg_4_ (WDDLDFFMS)             4.35e-06 5.03e-07 2.01e-09  4.85e-06   0.1
  text_out_reg_51_ (WDDLDFFMS)        3.69e-06 6.80e-08 1.98e-09  3.76e-06   0.1
  sa01_reg_5_ (WDDLDFFMS)             4.11e-06 3.00e-07 2.01e-09  4.41e-06   0.1
  text_out_reg_91_ (WDDLDFFMS)        3.38e-06 3.40e-08 1.98e-09  3.42e-06   0.1
  text_out_reg_123_ (WDDLDFFMS)       3.58e-06 6.80e-08 2.02e-09  3.65e-06   0.1
  text_out_reg_12_ (WDDLDFFMS)        4.02e-06 1.02e-07 2.04e-09  4.12e-06   0.1
  sa22_reg_5_ (WDDLDFFMS)             4.72e-06 3.99e-07 2.06e-09  5.13e-06   0.1
  sa12_reg_0_ (WDDLDFFMS)             4.39e-06 2.99e-07 2.03e-09  4.69e-06   0.1
  text_out_reg_52_ (WDDLDFFMS)        3.66e-06 6.80e-08 2.03e-09  3.73e-06   0.1
  sa33_reg_0_ (WDDLDFFMS)             4.36e-06 4.43e-07 2.05e-09  4.80e-06   0.1
  sa01_reg_6_ (WDDLDFFMS)             4.15e-06 1.61e-07 2.01e-09  4.32e-06   0.1
  text_out_reg_92_ (WDDLDFFMS)        4.46e-06 1.36e-07 2.07e-09  4.60e-06   0.1
  text_out_reg_124_ (WDDLDFFMS)       3.80e-06 1.02e-07 1.99e-09  3.90e-06   0.1
  text_out_reg_13_ (WDDLDFFMS)        4.28e-06 1.02e-07 2.04e-09  4.38e-06   0.1
  sa22_reg_6_ (WDDLDFFMS)             4.76e-06 2.41e-07 2.06e-09  5.00e-06   0.1
  sa12_reg_1_ (WDDLDFFMS)             4.78e-06 1.54e-06 2.07e-09  6.32e-06   0.2
  text_out_reg_53_ (WDDLDFFMS)        4.20e-06 1.02e-07 2.05e-09  4.31e-06   0.1
  sa33_reg_1_ (WDDLDFFMS)             4.26e-06 7.68e-07 2.03e-09  5.03e-06   0.1
