10100001 a2 93 79 4d 21 32 90 d5 da 8f d3 7e 8c e9 a1 ed 
11001100 92 a1 c8 5e e4 c6 3e f9 32 08 f5 1f 6f 19 cc 66 
01111111 02 94 06 74 b0 ec e9 48 45 c5 be b2 a3 ed 7f a4 
11101101 8d b9 7a 74 7b f0 71 0a c3 99 3b aa 78 d6 ed 47 
00111000 2f 8e 6c eb 79 bb ff 43 46 2d d0 e9 c4 44 38 62 
10111010 25 48 ea 68 3f 9b 60 b9 fc 01 4e 37 d8 c1 ba b2 
10110010 67 2f bc 2d 46 6a b0 73 97 39 e0 9b b3 8a b2 a8 
11001101 f8 b5 1e 43 f5 ce 12 39 37 33 80 29 91 dc cd 0e 
11011110 bf 50 f2 8a b2 1e 6c f1 02 b4 7b 59 b5 d9 de 7a 
01110011 ea 5e a2 f1 2c dd c2 c5 2a e7 43 8f 5c ef 73 c2 
00111011 6d e3 b9 5f 7e fa 63 e5 93 80 5c 87 50 4e 3b 39 
11010010 ea b1 e8 ac 52 e0 ac 8f 13 0b 00 0f 39 74 d2 3f 
10100110 97 5a 2c 38 d6 93 4e 78 15 cc 2c 05 5b 28 a6 99 
00011000 16 61 94 16 63 37 1e a7 0b e6 84 06 82 13 18 3b 
01111010 ed 1c 91 bd e2 af 87 a6 8f 22 09 ee a1 bc 7a e1 
10100000 71 ec 10 75 12 29 cd 2f 29 22 3f 6d d9 aa a0 9b 
10100101 28 c5 8f 9d 7a bb 25 8d 46 25 4f bb fc a1 a5 cf 
00101000 01 49 79 7b af 55 9a e4 70 0f fb 3e 5d 88 28 d6 
11011011 d5 1e 5d dd 30 8d 4e 3e 57 43 60 58 df d4 db b3 
10010110 28 9e 2b 74 92 23 a2 bf 9e 9d ad 94 58 71 96 e8 
00001101 d5 51 4a 04 b4 27 d2 de 5b 9a af 9f 23 9c 0d ac 
10101101 0d 1d 8c 80 7e 4b 75 51 cd a4 75 62 ed 93 ad ab 
11000101 dd c5 f8 43 a4 d1 47 64 a1 3c 88 20 a9 fd c5 92 
10011001 ba 6e 41 0f 05 c4 bc a9 7b 87 c4 4a 8e 09 99 2f 
00110111 ee fe bd a1 4b 96 9e fa 7c 1f 48 06 c2 03 37 98 
01110111 f4 8b 72 b0 a4 f6 c3 e1 f2 56 33 73 0b 82 77 f9 
11101000 8a 6f 2f 0a 32 fa e1 c0 57 1f ff 9f af f0 e8 a6 
10001001 54 a1 d2 31 ed a5 fa 78 81 d5 38 2a 89 8e 89 7b 
01110100 ce e0 f0 59 69 d7 47 82 6c 21 3c c7 81 8f 74 54 
11101100 c8 9f 9e 54 4f bd 85 b0 b1 32 d2 8c 4c 2c ec b0 
00101001 92 92 53 c0 5d 56 32 58 f9 08 4d 87 a8 a9 29 e3 
00101000 bd b8 56 b3 3d 24 f1 93 7c 19 11 10 25 43 28 7d 
01001010 b0 b2 16 41 92 cb 46 3b 68 e3 c4 1e b5 85 4a cc 
10001100 c5 65 6d 6f 33 ea db e2 1c c5 bd 97 a1 e6 8c f7 
01101001 90 45 cf 56 e5 a4 7a 1d 09 e2 6b b7 57 a9 69 ce 
01110100 75 fd 50 08 28 8b 3c 73 cc 4f 1b a6 c0 31 74 e1 
00111101 46 83 be 3a 32 97 5c 14 b8 e0 b9 2e 72 8b 3d 72 
10101100 5a 38 8c dc e7 ef c0 4b fe a9 a8 5f 1b 98 ac 01 
10011110 74 e0 1d c4 e3 7c 44 d7 62 a6 52 68 d7 2c 9e b3 
11010110 ea dd 6a 7d a8 81 18 7d b1 58 76 49 49 93 d6 9e 
00011011 76 b0 68 82 f8 27 42 64 7c 41 ee b2 7a bb 1b 0f 
11000000 68 18 79 14 34 25 74 d8 5c 1d d9 29 76 44 c0 59 
11001011 99 9e 02 91 f8 23 0d 1c 54 4e 58 0b aa 19 cb bd 
11101100 46 bd 2a 53 c2 e2 84 e9 52 bb 50 af 8a 20 ec ca 
10000011 a5 0a eb 00 ac 11 98 53 b9 af f9 63 2f 9d 83 e8 
10100001 2b 4e fd a3 fa 5a 6e 8d 97 dd ce 01 64 05 a1 50 
01000000 0d 00 d8 49 7a 07 c1 09 54 d7 64 01 46 c0 40 41 
00001001 cd 51 6a 72 b9 e2 67 92 40 15 b1 3b c1 cc 09 04 
00000001 55 5e da 37 f4 64 a2 8c 48 05 6a 4c 8e f7 01 d8 
00101010 a6 6c 5e 6c 87 68 fc f5 2d a4 20 69 00 0b 2a 60 
00101011 92 85 d3 f6 2f 8b 9c 89 f0 f6 7a c1 44 c4 2b 7b 
10010100 d2 8d 9b 17 af 0d 4f f5 17 7b 18 e2 7b dd 94 81 
11000000 6b da 2c 4c 18 6a 80 3c f6 6c 58 6a e2 05 c0 d7 
01110001 42 28 81 92 18 5e 6d 90 fd 34 51 57 28 8e 71 1d 
11111001 89 bc da ea 81 2a 9c b6 76 08 d7 60 58 c0 f9 cb 
11110110 8d c8 a4 b4 51 8a 6f 2a 8a e6 19 a0 79 ef f6 16 
11001011 e4 b1 f3 72 a7 f6 9d 52 d3 70 22 4b 51 9e cb c4 
11001100 57 8b 14 eb 4d 5c a7 21 1c 19 34 c7 af d7 cc 6f 
01010100 ba a9 c9 fb db 9d cd c1 01 64 ba 31 ca df 54 9e 
10011110 58 9b 04 e7 74 d0 65 d8 77 6a 70 e9 ca a7 9e 28 
01010110 96 55 7b 88 8b c3 dd a7 6b 0e 91 5b 6b 33 56 82 
01111010 fa a2 a7 71 05 df 8e 40 54 29 66 8f 70 fc 7a d6 
11001110 17 b7 62 80 be 96 a1 63 fe 5a 84 8d 47 21 ce 31 
00110010 7a 7a da 3f c4 63 df fe f2 87 fd b9 b4 db 32 a7 
00011011 47 4a 5e be 07 5e 3f 2c 12 4f 20 9f 4f 37 1b 80 
10110111 48 1c b9 84 47 21 65 20 d6 b4 af 16 78 31 b7 8f 
11111010 fb 4b 9a 60 c7 14 e8 6b 02 7c 77 f9 31 57 fa 21 
11011101 44 4d 39 7f e7 c0 76 8c 41 86 fd b8 2e 3b dd cb 
00011011 20 6e a9 19 2e 89 2a 41 4b 7d 04 75 2f 41 1b cb 
00100110 26 86 97 06 14 37 1c c9 fa 4f 19 32 1e 53 26 a5 
